Price,Close,High,Low,Open,Volume,Return,Volatility,Volatility_ma10
Ticker,^NSEI,^NSEI,^NSEI,^NSEI,^NSEI,,,
Date,,,,,,,,
2019-02-14,10746.0498046875,10792.7001953125,10718.75,10786.099609375,627000,-0.007879921603800577,0.006977647298320457,0.006994359193116996
2019-02-15,10724.400390625,10785.75,10620.400390625,10780.25,521900,-0.002014639281967212,0.006980904555783484,0.006987096338039704
2019-02-18,10640.9501953125,10759.900390625,10628.400390625,10738.650390625,345400,-0.00778133902809619,0.007128826641572418,0.007035062015529385
2019-02-19,10604.349609375,10722.849609375,10585.650390625,10636.7001953125,291500,-0.0034395975233135756,0.007139186279834327,0.007090639517955048
2019-02-20,10735.4501953125,10752.7001953125,10646.400390625,10655.4501953125,289200,0.012362906803977669,0.007627514553686336,0.0071987610791097514
2019-02-21,10789.849609375,10808.849609375,10721.5,10744.099609375,279600,0.005067269008080633,0.007712521622930684,0.007273750244593068
2019-02-22,10791.650390625,10801.5498046875,10758.400390625,10782.7001953125,396800,0.00016689586186968697,0.007502962801908167,0.007333062263212771
2019-02-25,10880.099609375,10887.099609375,10788.0498046875,10813.25,385900,0.008196078963680797,0.007714046346356721,0.007367226718975236
2019-02-26,10835.2998046875,10888.75,10729.2998046875,10775.2998046875,415000,-0.004117591409631749,0.007633390950434779,0.007386053452674427
2019-02-27,10806.650390625,10939.7001953125,10751.2001953125,10881.2001953125,381100,-0.002644081343287419,0.007220275725919253,0.0073637276776746625
2019-02-28,10792.5,10865.7001953125,10784.849609375,10865.7001953125,644200,-0.0013094150466157473,0.007225519383587931,0.00738851488620141
2019-03-01,10863.5,10877.900390625,10823.099609375,10842.650390625,308500,0.006578642575862936,0.007337505388891035,0.007424174969512165
2019-03-05,10987.4501953125,10994.900390625,10817.0,10864.849609375,373200,0.011409784628572783,0.006830509041118817,0.007394343209466805
2019-03-06,11053.0,11062.2998046875,10998.849609375,11024.849609375,372600,0.005965879573721855,0.006837197348156714,0.007364144316299044
2019-03-07,11058.2001953125,11089.0498046875,11027.099609375,11077.9501953125,321200,0.00047047817900125466,0.006833538397227481,0.007284746700653158
2019-03-08,11035.400390625,11049.0,11008.9501953125,11038.849609375,326600,-0.0020618006804727917,0.006850743356840238,0.007198568874044113
2019-03-11,11168.0498046875,11180.900390625,11059.849609375,11068.75,352200,0.012020353532001593,0.006876067544099375,0.007135879348263234
2019-03-12,11301.2001953125,11320.400390625,11227.0,11231.349609375,391300,0.011922438828049886,0.007316258424701562,0.0070961005560977175
2019-03-13,11341.7001953125,11352.2998046875,11276.599609375,11326.2001953125,383000,0.0035836901656514097,0.006757655974586819,0.0070085270585129224
2019-03-14,11343.25,11383.4501953125,11313.75,11382.5,294500,0.00013664659273393553,0.006592642432364376,0.006945763729157435
2019-03-15,11426.849609375,11487.0,11370.7998046875,11376.849609375,463700,0.007369987382364052,0.006474492910412682,0.00687066108183991
2019-03-18,11462.2001953125,11530.150390625,11412.5,11473.849609375,320300,0.0030936423551506387,0.006015339251126019,0.006738444468063408
2019-03-19,11532.400390625,11543.849609375,11451.25,11500.2998046875,326100,0.006124495656707252,0.005931338624528044,0.0066485274264043315
2019-03-20,11521.0498046875,11556.099609375,11503.099609375,11553.349609375,366300,-0.0009842344657688962,0.005452083394771003,0.00651001603106576
2019-03-22,11456.900390625,11572.7998046875,11434.5498046875,11549.2001953125,386200,-0.005568018119008533,0.005610968427190811,0.006387759034062093
2019-03-25,11354.25,11395.650390625,11311.599609375,11395.650390625,294500,-0.008959700017030503,0.005888131685390703,0.00629149786691714
2019-03-26,11483.25,11496.75,11352.4501953125,11375.2001953125,282600,0.011361384503600025,0.006168768288235144,0.006220767941330716
2019-03-27,11445.0498046875,11546.2001953125,11413.0,11531.4501953125,350400,-0.0033266013813597617,0.006294485494157289,0.006118590648276289
2019-03-28,11570.0,11588.5,11452.4501953125,11463.650390625,527700,0.010917400749215211,0.006437053201511983,0.006086530370968806
2019-04-01,11669.150390625,11738.099609375,11644.75,11665.2001953125,379600,0.008569610252809001,0.006334970044906226,0.006060763132222991
2019-04-02,11713.2001953125,11729.349609375,11655.849609375,11711.5498046875,386100,0.0037748939051200914,0.006173674218364316,0.006030681263018154
2019-04-03,11643.9501953125,11761.0,11629.150390625,11735.2998046875,365800,-0.005912133221091298,0.006442285890976918,0.006073375927003243
2019-04-04,11598.0,11662.5498046875,11559.2001953125,11660.2001953125,349000,-0.003946272059030087,0.006609647727125289,0.006141206837262969
2019-04-05,11665.9501953125,11689.650390625,11609.5,11638.400390625,266700,0.005858785593421345,0.006369048581792851,0.006232903355965153
2019-04-08,11604.5,11710.2998046875,11549.099609375,11704.349609375,260900,-0.005267483083991831,0.006565331501315665,0.006328339663377638
2019-04-09,11671.9501953125,11683.900390625,11569.7001953125,11612.0498046875,300500,0.005812417192683883,0.006592632783987118,0.00639878977323728
2019-04-10,11584.2998046875,11680.0498046875,11571.75,11646.849609375,359900,-0.007509489773200095,0.0068857482132610205,0.006470487765739869
2019-04-11,11596.7001953125,11606.7001953125,11550.5498046875,11592.5498046875,279800,0.0010704480058416621,0.006520707153084169,0.006493109931632555
2019-04-12,11643.4501953125,11657.349609375,11578.7998046875,11612.849609375,246000,0.0040313191867198395,0.006124476107798193,0.006461852222261177
2019-04-15,11690.349609375,11704.599609375,11648.25,11667.0,290000,0.0040279653604204935,0.0061330143474826,0.006441656652518814
2019-04-16,11787.150390625,11810.9501953125,11731.5498046875,11736.2001953125,354300,0.008280400884877803,0.006300293999007318,0.006454318630583114
2019-04-18,11752.7998046875,11856.150390625,11738.5,11856.150390625,339700,-0.0029142400664389223,0.006249139250223827,0.006435003966507804
2019-04-22,11594.4501953125,11727.0498046875,11583.9501953125,11727.0498046875,260400,-0.013473352052831178,0.0070176483899190125,0.006475804032787177
2019-04-23,11575.9501953125,11645.9501953125,11564.7998046875,11612.9501953125,272500,-0.0015955909670886115,0.006913556578313881,0.006530254832439281
2019-04-24,11726.150390625,11740.849609375,11578.849609375,11601.5,335200,0.012975193636658888,0.007444481086359263,0.00661816979094364
2019-04-25,11641.7998046875,11796.75,11624.2998046875,11735.7001953125,604400,-0.007193374050953438,0.0075227665652302465,0.006711183169067954
2019-04-26,11754.650390625,11762.900390625,11661.75,11683.75,333500,0.009693568677590747,0.007414524231799752,0.006764060770921826
2019-04-30,11748.150390625,11756.25,11655.900390625,11748.75,532600,-0.0005529726349993158,0.007085017670125439,0.006820491822625953
2019-05-02,11724.75,11789.2998046875,11699.5498046875,11725.5498046875,380300,-0.001991836148409698,0.007049117999300849,0.006912956011776219
2019-05-03,11712.25,11770.900390625,11699.349609375,11722.599609375,305500,-0.0010661208128105448,0.006697196012115243,0.0069693741782394835
2019-05-06,11598.25,11632.5498046875,11571.349609375,11605.7998046875,299000,-0.00973339879186319,0.0067988447298791,0.007019229251326661
2019-05-07,11497.900390625,11657.0498046875,11484.4501953125,11651.5,337500,-0.008652133673183404,0.006968058445998962,0.007091121170904174
2019-05-08,11359.4501953125,11479.099609375,11346.9501953125,11478.7001953125,372800,-0.012041345863927244,0.007310223293030875,0.007120378661215361
2019-05-09,11301.7998046875,11357.599609375,11255.0498046875,11322.400390625,373000,-0.005075103956069027,0.007335904455580358,0.0071626134489420085
2019-05-10,11278.900390625,11345.7998046875,11251.0498046875,11314.150390625,387300,-0.0020261741013145596,0.0071558298815213245,0.007133748328458214
2019-05-13,11148.2001953125,11300.2001953125,11125.599609375,11258.7001953125,357600,-0.011588026384304118,0.007445689749459393,0.0071260406468811295
2019-05-14,11222.0498046875,11294.75,11108.2998046875,11151.650390625,398100,0.006624352638199937,0.007489621125098551,0.00713355033621101
2019-05-15,11157.0,11286.7998046875,11136.9501953125,11271.7001953125,414200,-0.005796606308085428,0.00743394848979736,0.007168443418178201
2019-05-16,11257.099609375,11281.5498046875,11143.349609375,11180.349609375,350700,0.008971910851931497,0.007776532440630328,0.007241184862311151
2019-05-17,11407.150390625,11426.150390625,11259.849609375,11261.900390625,412100,0.013329435330307948,0.008344338445383818,0.007405899105638006
2019-05-20,11828.25,11845.2001953125,11591.7001953125,11651.900390625,452100,0.036915407876193296,0.011725158527279456,0.00789853048537804
2019-05-21,11709.099609375,11883.5498046875,11682.7998046875,11863.650390625,381000,-0.010073374389702572,0.011809603526146642,0.00838268499339281
2019-05-22,11737.900390625,11784.7998046875,11682.400390625,11727.9501953125,355900,0.0024596922232125173,0.011807224105242762,0.008832385074613999
2019-05-23,11657.0498046875,12041.150390625,11614.5,11901.2998046875,569000,-0.006887993870017373,0.011515185384341684,0.009250313167490132
2019-05-24,11844.099609375,11859.0,11658.099609375,11748.0,374600,0.016046067214389392,0.01200177143673496,0.009734907323011495
2019-05-27,11924.75,11957.150390625,11812.400390625,11855.5,348400,0.006809330661248669,0.011771454256422193,0.010167483773707776
2019-05-28,11928.75,11958.5498046875,11864.900390625,11958.349609375,598300,0.0003354368016101894,0.011627514868656992,0.010581273148063619
2019-05-29,11861.099609375,11931.900390625,11836.7998046875,11905.7998046875,318100,-0.005671205333752538,0.011551071143662564,0.01099298541345014
2019-05-30,11945.900390625,11968.5498046875,11859.400390625,11865.2998046875,421200,0.007149487319284775,0.011638186010369398,0.011379150770424045
2019-05-31,11922.7998046875,12039.25,11829.4501953125,11999.7998046875,438900,-0.0019337668306382838,0.011637481682306076,0.011708465094116273
2019-06-03,12088.5498046875,12103.0498046875,11920.099609375,11953.75,315300,0.013901936014629301,0.011967209190022797,0.011732670160390608
2019-06-04,12021.650390625,12095.2001953125,12005.849609375,12052.650390625,289200,-0.005534114111566901,0.011802767155520604,0.011731986523328002
2019-06-06,11843.75,12039.7998046875,11830.25,12039.7998046875,415200,-0.014798333410505293,0.012145473988131992,0.011765811511616927
2019-06-07,11870.650390625,11897.5,11769.5,11865.2001953125,302500,0.0022712730870713127,0.011743604265318704,0.011788653399714627
2019-06-10,11922.7001953125,11975.0498046875,11871.75,11934.900390625,303300,0.004384747505377318,0.011632977887365266,0.011751774044777659
2019-06-11,11965.599609375,12000.349609375,11904.349609375,11959.849609375,332200,0.0035981290613484873,0.011585458302046306,0.01173317444934007
2019-06-12,11906.2001953125,11962.4501953125,11866.349609375,11962.4501953125,283700,-0.004964181988503125,0.011257339096522354,0.011696156872126606
2019-06-13,11914.0498046875,11931.349609375,11817.0498046875,11873.900390625,447900,0.0006592875347493088,0.011241781189377778,0.011665227876698128
2019-06-14,11823.2998046875,11911.849609375,11797.7001953125,11910.099609375,390300,-0.007617057296864349,0.011319054430337015,0.01163331471869489
2019-06-17,11672.150390625,11844.0498046875,11657.75,11844.0,295500,-0.012784029548381648,0.011717069263304217,0.011641273476794703
2019-06-18,11691.5,11727.2001953125,11641.150390625,11677.0498046875,365500,0.0016577587443133979,0.011415281371813676,0.01158608069497379
2019-06-19,11691.4501953125,11802.5,11625.099609375,11744.4501953125,446900,-4.259905700743083e-06,0.007967661506089884,0.011202570130030719
2019-06-20,11831.75,11843.5,11635.0498046875,11653.650390625,442000,0.012000205478679637,0.008099744326859913,0.01079799716390351
2019-06-21,11724.099609375,11827.9501953125,11705.099609375,11827.599609375,468400,-0.009098433505187353,0.008350694437626541,0.010458706181134297
2019-06-24,11699.650390625,11754.0,11670.2001953125,11725.7998046875,277600,-0.002085381356743965,0.008217990595219483,0.010117207451919717
2019-06-25,11796.4501953125,11814.400390625,11651.0,11681.0,300500,0.008273734808782462,0.007622365381762745,0.00972089815989136
2019-06-26,11847.5498046875,11871.849609375,11757.5498046875,11768.150390625,327900,0.004331778503613437,0.0075276164323694154,0.009347925893476067
2019-06-27,11841.5498046875,11911.150390625,11821.0498046875,11860.849609375,480200,-0.0005064338279993086,0.007526404106931622,0.008976388185231452
2019-06-28,11788.849609375,11871.7001953125,11775.5,11861.150390625,303900,-0.004450447465215945,0.007487640114096361,0.008593246753607387
2019-07-01,11865.599609375,11884.650390625,11830.7998046875,11839.900390625,278400,0.006510389269786421,0.0074572379131294915,0.008167263618589913
2019-07-02,11910.2998046875,11917.4501953125,11814.7001953125,11890.2998046875,363200,0.003767209141051886,0.007498239873800811,0.007775559468788627
2019-07-03,11916.75,11945.2001953125,11887.0498046875,11932.150390625,340500,0.0005415644793391738,0.006791107550687549,0.0076579040732483936
2019-07-04,11946.75,11969.25,11923.650390625,11928.7998046875,333600,0.0025174649128327786,0.006729133699178605,0.0075208430104802635
2019-07-05,11811.150390625,11981.75,11797.900390625,11964.75,530700,-0.011350334557515662,0.0063906223227847,0.007324835798996078
2019-07-08,11558.599609375,11771.900390625,11523.2998046875,11770.400390625,464000,-0.02138240331360608,0.00786422176516084,0.007289458915990215
2019-07-09,11555.900390625,11582.5498046875,11461.0,11531.599609375,442500,-0.00023352472109261502,0.007763042367420503,0.00730352661455599
2019-07-10,11498.900390625,11593.7001953125,11475.650390625,11536.150390625,337600,-0.004932545113165099,0.007708237222923722,0.0073215886936114204
2019-07-11,11582.900390625,11599.0,11519.5,11561.4501953125,317300,0.007305046321514741,0.007923499889010378,0.007361298271819296
2019-07-12,11552.5,11639.5498046875,11538.599609375,11601.150390625,359400,-0.0026245922523520093,0.007915713662976049,0.007404105626707265
2019-07-15,11588.349609375,11618.400390625,11532.2998046875,11614.75,368800,0.0031031905972733753,0.007842528753925446,0.007442634710786861
2019-07-16,11662.599609375,11670.0498046875,11573.9501953125,11596.650390625,480200,0.006407297199588324,0.007502424682071082,0.007443053191613888
2019-07-17,11687.5,11706.650390625,11651.150390625,11670.75,464800,0.0021350634900458854,0.007508456877346268,0.007514788124279759
2019-07-18,11596.900390625,11677.150390625,11582.400390625,11675.599609375,498300,-0.007751838235294128,0.007697197071747573,0.007611594461536655
2019-07-19,11419.25,11640.349609375,11399.2998046875,11627.9501953125,446000,-0.01531878214359883,0.007811799557504997,0.007753712185008685
2019-07-22,11346.2001953125,11398.150390625,11301.25,11392.849609375,516000,-0.006397075524881224,0.007704679452420658,0.007737757953734667
2019-07-23,11331.0498046875,11398.150390625,11302.7998046875,11372.25,458900,-0.0013352832106081625,0.007703717094357947,0.007731825426428413
2019-07-24,11271.2998046875,11359.75,11229.7998046875,11322.4501953125,413200,-0.005273121293252303,0.007406274436174704,0.00770162914775351
2019-07-25,11252.150390625,11361.400390625,11239.349609375,11290.400390625,553700,-0.0016989534831232112,0.007258230637671053,0.007635102222619578
2019-07-26,11284.2998046875,11307.599609375,11210.0498046875,11247.4501953125,522700,0.0028571795564771296,0.007339393086445909,0.007577470164966564
